export-plot data (NetLogo 5.0.4),,,,,,,,,,
trailWithDeterminableButDifferentResourceRequirements.nlogo,,,,,,,,,,
12/12/2013 16:50:37:479 +0530,,,,,,,,,,
,,,,,,,,,,
MODEL SETTINGS,,,,,,,,,,
req-3,rate,req-7,n,req-8,req-2,number,req-1,req-6,req-5,req-4
0.1,1,0.1,2,0.1,0.033,248,0.033,0.1,0.1,0.1
,,,,,,,,,,
"""mean resource carried by a turtle""",,,,,,,,,,
x min,x max,y min,y max,autoplot?,current pen,legend open?,number of pens,,,
0,1120,0,0.033,TRUE,"""default""",FALSE,1,,,
,,,,,,,,,,
pen name,pen down?,mode,interval,color,x,,,,,
"""default""",TRUE,0,1,0,904,,,,,
,,,,,,,,,,
"""default""",,,,,,,,,,
x,y,color,pen down?,,,,,,,
0,0,0,TRUE,,,,,,,
1,0.01,0,TRUE,,,,,,,
2,0.02,0,TRUE,,,,,,,
3,0.03,0,TRUE,,,,,,,
4,0.013653226,0,TRUE,,,,,,,
5,0.020592742,0,TRUE,,,,,,,
6,0.028995968,0,TRUE,,,,,,,
7,0.008923387,0,TRUE,,,,,,,
8,0.016528226,0,TRUE,,,,,,,
9,0.02546371,0,TRUE,,,,,,,
10,0.004991935,0,TRUE,,,,,,,
11,0.01246371,0,TRUE,,,,,,,
12,0.021665323,0,TRUE,,,,,,,
13,0.031399194,0,TRUE,,,,,,,
14,0.011725806,0,TRUE,,,,,,,
15,0.019330645,0,TRUE,,,,,,,
16,0.028399194,0,TRUE,,,,,,,
17,0.007927419,0,TRUE,,,,,,,
18,0.015399194,0,TRUE,,,,,,,
19,0.025,0,TRUE,,,,,,,
20,0.00466129,0,TRUE,,,,,,,
21,0.012266129,0,TRUE,,,,,,,
22,0.022,0,TRUE,,,,,,,
23,0.032,0,TRUE,,,,,,,
24,0.012060484,0,TRUE,,,,,,,
25,0.019399194,0,TRUE,,,,,,,
26,0.029133065,0,TRUE,,,,,,,
27,0.008129032,0,TRUE,,,,,,,
28,0.016532258,0,TRUE,,,,,,,
29,0.026266129,0,TRUE,,,,,,,
30,0.005395161,0,TRUE,,,,,,,
31,0.013266129,0,TRUE,,,,,,,
32,0.023133065,0,TRUE,,,,,,,
33,0.003592742,0,TRUE,,,,,,,
34,0.010399194,0,TRUE,,,,,,,
35,0.020266129,0,TRUE,,,,,,,
36,0.03,0,TRUE,,,,,,,
37,0.009528226,0,TRUE,,,,,,,
38,0.017931452,0,TRUE,,,,,,,
39,0.027399194,0,TRUE,,,,,,,
40,0.006794355,0,TRUE,,,,,,,
41,0.014931452,0,TRUE,,,,,,,
42,0.024,0,TRUE,,,,,,,
43,0.004326613,0,TRUE,,,,,,,
44,0.011931452,0,TRUE,,,,,,,
45,0.021532258,0,TRUE,,,,,,,
46,0.031,0,TRUE,,,,,,,
47,0.011060484,0,TRUE,,,,,,,
48,0.018931452,0,TRUE,,,,,,,
49,0.028133065,0,TRUE,,,,,,,
50,0.006197581,0,TRUE,,,,,,,
51,0.015133065,0,TRUE,,,,,,,
52,0.025,0,TRUE,,,,,,,
53,0.003862903,0,TRUE,,,,,,,
54,0.012133065,0,TRUE,,,,,,,
55,0.022,0,TRUE,,,,,,,
56,0.032,0,TRUE,,,,,,,
57,0.012858871,0,TRUE,,,,,,,
58,0.019399194,0,TRUE,,,,,,,
59,0.029266129,0,TRUE,,,,,,,
60,0.007862903,0,TRUE,,,,,,,
61,0.016266129,0,TRUE,,,,,,,
62,0.026133065,0,TRUE,,,,,,,
63,0.004862903,0,TRUE,,,,,,,
64,0.013133065,0,TRUE,,,,,,,
65,0.023,0,TRUE,,,,,,,
66,0.001862903,0,TRUE,,,,,,,
67,0.010133065,0,TRUE,,,,,,,
68,0.02,0,TRUE,,,,,,,
69,0.03,0,TRUE,,,,,,,
70,0.009262097,0,TRUE,,,,,,,
71,0.017532258,0,TRUE,,,,,,,
72,0.027399194,0,TRUE,,,,,,,
73,0.005995968,0,TRUE,,,,,,,
74,0.014399194,0,TRUE,,,,,,,
75,0.024133065,0,TRUE,,,,,,,
76,0.003129032,0,TRUE,,,,,,,
77,0.011665323,0,TRUE,,,,,,,
78,0.021266129,0,TRUE,,,,,,,
79,0.031133065,0,TRUE,,,,,,,
80,0.011459677,0,TRUE,,,,,,,
81,0.019330645,0,TRUE,,,,,,,
82,0.028266129,0,TRUE,,,,,,,
83,0.006197581,0,TRUE,,,,,,,
84,0.015133065,0,TRUE,,,,,,,
85,0.025,0,TRUE,,,,,,,
86,0.003596774,0,TRUE,,,,,,,
87,0.012399194,0,TRUE,,,,,,,
88,0.022,0,TRUE,,,,,,,
89,0.032,0,TRUE,,,,,,,
90,0.012193548,0,TRUE,,,,,,,
91,0.019266129,0,TRUE,,,,,,,
92,0.029133065,0,TRUE,,,,,,,
93,0.008129032,0,TRUE,,,,,,,
94,0.016266129,0,TRUE,,,,,,,
95,0.026,0,TRUE,,,,,,,
96,0.004197581,0,TRUE,,,,,,,
97,0.013266129,0,TRUE,,,,,,,
98,0.023,0,TRUE,,,,,,,
99,0.001197581,0,TRUE,,,,,,,
100,0.010133065,0,TRUE,,,,,,,
101,0.02,0,TRUE,,,,,,,
102,0.03,0,TRUE,,,,,,,
103,0.008596774,0,TRUE,,,,,,,
104,0.017133065,0,TRUE,,,,,,,
105,0.027,0,TRUE,,,,,,,
106,0.004931452,0,TRUE,,,,,,,
107,0.014,0,TRUE,,,,,,,
108,0.024,0,TRUE,,,,,,,
109,0.00246371,0,TRUE,,,,,,,
110,0.011,0,TRUE,,,,,,,
111,0.021,0,TRUE,,,,,,,
112,0.031,0,TRUE,,,,,,,
113,0.010129032,0,TRUE,,,,,,,
114,0.018,0,TRUE,,,,,,,
115,0.028,0,TRUE,,,,,,,
116,0.006197581,0,TRUE,,,,,,,
117,0.015133065,0,TRUE,,,,,,,
118,0.025,0,TRUE,,,,,,,
119,0.003596774,0,TRUE,,,,,,,
120,0.012,0,TRUE,,,,,,,
121,0.022,0,TRUE,,,,,,,
122,0.032,0,TRUE,,,,,,,
123,0.01046371,0,TRUE,,,,,,,
124,0.019266129,0,TRUE,,,,,,,
125,0.029,0,TRUE,,,,,,,
126,0.007197581,0,TRUE,,,,,,,
127,0.016,0,TRUE,,,,,,,
128,0.026,0,TRUE,,,,,,,
129,0.004862903,0,TRUE,,,,,,,
130,0.013266129,0,TRUE,,,,,,,
131,0.023133065,0,TRUE,,,,,,,
132,0.001197581,0,TRUE,,,,,,,
133,0.010133065,0,TRUE,,,,,,,
134,0.02,0,TRUE,,,,,,,
135,0.03,0,TRUE,,,,,,,
136,0.009262097,0,TRUE,,,,,,,
137,0.017266129,0,TRUE,,,,,,,
138,0.027133065,0,TRUE,,,,,,,
139,0.006262097,0,TRUE,,,,,,,
140,0.014133065,0,TRUE,,,,,,,
141,0.024,0,TRUE,,,,,,,
142,0.003528226,0,TRUE,,,,,,,
143,0.011665323,0,TRUE,,,,,,,
144,0.021266129,0,TRUE,,,,,,,
145,0.031,0,TRUE,,,,,,,
146,0.009995968,0,TRUE,,,,,,,
147,0.018133065,0,TRUE,,,,,,,
148,0.028,0,TRUE,,,,,,,
149,0.006596774,0,TRUE,,,,,,,
150,0.015133065,0,TRUE,,,,,,,
151,0.025,0,TRUE,,,,,,,
152,0.002798387,0,TRUE,,,,,,,
153,0.012,0,TRUE,,,,,,,
154,0.022,0,TRUE,,,,,,,
155,0.032,0,TRUE,,,,,,,
156,0.011262097,0,TRUE,,,,,,,
157,0.019399194,0,TRUE,,,,,,,
158,0.029133065,0,TRUE,,,,,,,
159,0.007197581,0,TRUE,,,,,,,
160,0.016,0,TRUE,,,,,,,
161,0.026,0,TRUE,,,,,,,
162,0.004330645,0,TRUE,,,,,,,
163,0.013266129,0,TRUE,,,,,,,
164,0.023,0,TRUE,,,,,,,
165,0.001729839,0,TRUE,,,,,,,
166,0.010532258,0,TRUE,,,,,,,
167,0.02,0,TRUE,,,,,,,
168,0.03,0,TRUE,,,,,,,
169,0.008729839,0,TRUE,,,,,,,
170,0.017133065,0,TRUE,,,,,,,
171,0.027,0,TRUE,,,,,,,
172,0.005995968,0,TRUE,,,,,,,
173,0.014266129,0,TRUE,,,,,,,
174,0.024266129,0,TRUE,,,,,,,
175,0.004193548,0,TRUE,,,,,,,
176,0.011133065,0,TRUE,,,,,,,
177,0.021,0,TRUE,,,,,,,
178,0.031,0,TRUE,,,,,,,
179,0.011326613,0,TRUE,,,,,,,
180,0.018399194,0,TRUE,,,,,,,
181,0.028133065,0,TRUE,,,,,,,
182,0.006729839,0,TRUE,,,,,,,
183,0.015266129,0,TRUE,,,,,,,
184,0.025,0,TRUE,,,,,,,
185,0.003197581,0,TRUE,,,,,,,
186,0.012133065,0,TRUE,,,,,,,
187,0.022,0,TRUE,,,,,,,
188,0.032,0,TRUE,,,,,,,
189,0.011528226,0,TRUE,,,,,,,
190,0.019532258,0,TRUE,,,,,,,
191,0.029,0,TRUE,,,,,,,
192,0.007729839,0,TRUE,,,,,,,
193,0.016133065,0,TRUE,,,,,,,
194,0.026133065,0,TRUE,,,,,,,
195,0.004197581,0,TRUE,,,,,,,
196,0.013133065,0,TRUE,,,,,,,
197,0.023,0,TRUE,,,,,,,
198,0.001862903,0,TRUE,,,,,,,
199,0.010133065,0,TRUE,,,,,,,
200,0.020133065,0,TRUE,,,,,,,
201,0.03,0,TRUE,,,,,,,
202,0.008729839,0,TRUE,,,,,,,
203,0.017266129,0,TRUE,,,,,,,
204,0.027,0,TRUE,,,,,,,
205,0.005729839,0,TRUE,,,,,,,
206,0.014399194,0,TRUE,,,,,,,
207,0.024,0,TRUE,,,,,,,
208,0.002596774,0,TRUE,,,,,,,
209,0.011399194,0,TRUE,,,,,,,
210,0.021,0,TRUE,,,,,,,
211,0.031,0,TRUE,,,,,,,
212,0.00946371,0,TRUE,,,,,,,
213,0.018399194,0,TRUE,,,,,,,
214,0.028,0,TRUE,,,,,,,
215,0.006330645,0,TRUE,,,,,,,
216,0.015,0,TRUE,,,,,,,
217,0.025,0,TRUE,,,,,,,
218,0.003596774,0,TRUE,,,,,,,
219,0.012133065,0,TRUE,,,,,,,
220,0.022,0,TRUE,,,,,,,
221,0.032,0,TRUE,,,,,,,
222,0.011129032,0,TRUE,,,,,,,
223,0.019133065,0,TRUE,,,,,,,
224,0.029,0,TRUE,,,,,,,
225,0.007330645,0,TRUE,,,,,,,
226,0.016,0,TRUE,,,,,,,
227,0.026,0,TRUE,,,,,,,
228,0.004862903,0,TRUE,,,,,,,
229,0.013,0,TRUE,,,,,,,
230,0.023,0,TRUE,,,,,,,
231,0.002129032,0,TRUE,,,,,,,
232,0.010266129,0,TRUE,,,,,,,
233,0.020266129,0,TRUE,,,,,,,
234,0.03,0,TRUE,,,,,,,
235,0.009262097,0,TRUE,,,,,,,
236,0.017532258,0,TRUE,,,,,,,
237,0.027,0,TRUE,,,,,,,
238,0.005197581,0,TRUE,,,,,,,
239,0.014266129,0,TRUE,,,,,,,
240,0.024133065,0,TRUE,,,,,,,
241,0.002197581,0,TRUE,,,,,,,
242,0.011399194,0,TRUE,,,,,,,
243,0.021,0,TRUE,,,,,,,
244,0.031,0,TRUE,,,,,,,
245,0.00946371,0,TRUE,,,,,,,
246,0.018,0,TRUE,,,,,,,
247,0.028,0,TRUE,,,,,,,
248,0.006197581,0,TRUE,,,,,,,
249,0.015,0,TRUE,,,,,,,
250,0.025,0,TRUE,,,,,,,
251,0.003197581,0,TRUE,,,,,,,
252,0.012266129,0,TRUE,,,,,,,
253,0.022,0,TRUE,,,,,,,
254,0.032,0,TRUE,,,,,,,
255,0.011262097,0,TRUE,,,,,,,
256,0.019399194,0,TRUE,,,,,,,
257,0.029,0,TRUE,,,,,,,
258,0.007995968,0,TRUE,,,,,,,
259,0.016133065,0,TRUE,,,,,,,
260,0.026,0,TRUE,,,,,,,
261,0.004862903,0,TRUE,,,,,,,
262,0.013266129,0,TRUE,,,,,,,
263,0.023,0,TRUE,,,,,,,
264,0.001330645,0,TRUE,,,,,,,
265,0.010133065,0,TRUE,,,,,,,
266,0.02,0,TRUE,,,,,,,
267,0.03,0,TRUE,,,,,,,
268,0.008330645,0,TRUE,,,,,,,
269,0.017133065,0,TRUE,,,,,,,
270,0.027,0,TRUE,,,,,,,
271,0.005862903,0,TRUE,,,,,,,
272,0.014,0,TRUE,,,,,,,
273,0.024,0,TRUE,,,,,,,
274,0.002995968,0,TRUE,,,,,,,
275,0.011266129,0,TRUE,,,,,,,
276,0.021,0,TRUE,,,,,,,
277,0.031,0,TRUE,,,,,,,
278,0.009596774,0,TRUE,,,,,,,
279,0.018,0,TRUE,,,,,,,
280,0.028,0,TRUE,,,,,,,
281,0.006729839,0,TRUE,,,,,,,
282,0.015665323,0,TRUE,,,,,,,
283,0.025,0,TRUE,,,,,,,
284,0.00466129,0,TRUE,,,,,,,
285,0.012266129,0,TRUE,,,,,,,
286,0.022,0,TRUE,,,,,,,
287,0.032,0,TRUE,,,,,,,
288,0.010729839,0,TRUE,,,,,,,
289,0.019133065,0,TRUE,,,,,,,
290,0.029,0,TRUE,,,,,,,
291,0.007330645,0,TRUE,,,,,,,
292,0.016133065,0,TRUE,,,,,,,
293,0.026,0,TRUE,,,,,,,
294,0.004064516,0,TRUE,,,,,,,
295,0.013,0,TRUE,,,,,,,
296,0.023,0,TRUE,,,,,,,
297,0.001596774,0,TRUE,,,,,,,
298,0.01,0,TRUE,,,,,,,
299,0.02,0,TRUE,,,,,,,
300,0.03,0,TRUE,,,,,,,
301,0.008330645,0,TRUE,,,,,,,
302,0.017133065,0,TRUE,,,,,,,
303,0.027,0,TRUE,,,,,,,
304,0.004798387,0,TRUE,,,,,,,
305,0.014133065,0,TRUE,,,,,,,
306,0.024,0,TRUE,,,,,,,
307,0.00246371,0,TRUE,,,,,,,
308,0.011266129,0,TRUE,,,,,,,
309,0.021133065,0,TRUE,,,,,,,
310,0.031133065,0,TRUE,,,,,,,
311,0.010395161,0,TRUE,,,,,,,
312,0.018266129,0,TRUE,,,,,,,
313,0.028,0,TRUE,,,,,,,
314,0.007262097,0,TRUE,,,,,,,
315,0.015266129,0,TRUE,,,,,,,
316,0.025133065,0,TRUE,,,,,,,
317,0.003596774,0,TRUE,,,,,,,
318,0.012266129,0,TRUE,,,,,,,
319,0.022,0,TRUE,,,,,,,
320,0.032,0,TRUE,,,,,,,
321,0.011129032,0,TRUE,,,,,,,
322,0.019,0,TRUE,,,,,,,
323,0.029,0,TRUE,,,,,,,
324,0.007995968,0,TRUE,,,,,,,
325,0.016133065,0,TRUE,,,,,,,
326,0.026,0,TRUE,,,,,,,
327,0.004197581,0,TRUE,,,,,,,
328,0.013,0,TRUE,,,,,,,
329,0.023,0,TRUE,,,,,,,
330,7.98E-04,0,TRUE,,,,,,,
331,0.010266129,0,TRUE,,,,,,,
332,0.02,0,TRUE,,,,,,,
333,0.03,0,TRUE,,,,,,,
334,0.008064516,0,TRUE,,,,,,,
335,0.017133065,0,TRUE,,,,,,,
336,0.027,0,TRUE,,,,,,,
337,0.005995968,0,TRUE,,,,,,,
338,0.014266129,0,TRUE,,,,,,,
339,0.024,0,TRUE,,,,,,,
340,0.002197581,0,TRUE,,,,,,,
341,0.011,0,TRUE,,,,,,,
342,0.021,0,TRUE,,,,,,,
343,0.031,0,TRUE,,,,,,,
344,0.008931452,0,TRUE,,,,,,,
345,0.018133065,0,TRUE,,,,,,,
346,0.028,0,TRUE,,,,,,,
347,0.005798387,0,TRUE,,,,,,,
348,0.015266129,0,TRUE,,,,,,,
349,0.025,0,TRUE,,,,,,,
350,0.003064516,0,TRUE,,,,,,,
351,0.012133065,0,TRUE,,,,,,,
352,0.022,0,TRUE,,,,,,,
353,0.032,0,TRUE,,,,,,,
354,0.010596774,0,TRUE,,,,,,,
355,0.019266129,0,TRUE,,,,,,,
356,0.029,0,TRUE,,,,,,,
357,0.007330645,0,TRUE,,,,,,,
358,0.016133065,0,TRUE,,,,,,,
359,0.026,0,TRUE,,,,,,,
360,0.00446371,0,TRUE,,,,,,,
361,0.013133065,0,TRUE,,,,,,,
362,0.023,0,TRUE,,,,,,,
363,0.001197581,0,TRUE,,,,,,,
364,0.010266129,0,TRUE,,,,,,,
365,0.02,0,TRUE,,,,,,,
366,0.03,0,TRUE,,,,,,,
367,0.008064516,0,TRUE,,,,,,,
368,0.017,0,TRUE,,,,,,,
369,0.027,0,TRUE,,,,,,,
370,0.00546371,0,TRUE,,,,,,,
371,0.014,0,TRUE,,,,,,,
372,0.024,0,TRUE,,,,,,,
373,0.001931452,0,TRUE,,,,,,,
374,0.011133065,0,TRUE,,,,,,,
375,0.021,0,TRUE,,,,,,,
376,0.031,0,TRUE,,,,,,,
377,0.008798387,0,TRUE,,,,,,,
378,0.018266129,0,TRUE,,,,,,,
379,0.028,0,TRUE,,,,,,,
380,0.006596774,0,TRUE,,,,,,,
381,0.015133065,0,TRUE,,,,,,,
382,0.025133065,0,TRUE,,,,,,,
383,0.003330645,0,TRUE,,,,,,,
384,0.012266129,0,TRUE,,,,,,,
385,0.022,0,TRUE,,,,,,,
386,0.032,0,TRUE,,,,,,,
387,0.010330645,0,TRUE,,,,,,,
388,0.019133065,0,TRUE,,,,,,,
389,0.029,0,TRUE,,,,,,,
390,0.007064516,0,TRUE,,,,,,,
391,0.016,0,TRUE,,,,,,,
392,0.026,0,TRUE,,,,,,,
393,0.003931452,0,TRUE,,,,,,,
394,0.013133065,0,TRUE,,,,,,,
395,0.023,0,TRUE,,,,,,,
396,0.001330645,0,TRUE,,,,,,,
397,0.010133065,0,TRUE,,,,,,,
398,0.02,0,TRUE,,,,,,,
399,0.03,0,TRUE,,,,,,,
400,0.008330645,0,TRUE,,,,,,,
401,0.017266129,0,TRUE,,,,,,,
402,0.027133065,0,TRUE,,,,,,,
403,0.00546371,0,TRUE,,,,,,,
404,0.014133065,0,TRUE,,,,,,,
405,0.024,0,TRUE,,,,,,,
406,0.001798387,0,TRUE,,,,,,,
407,0.011,0,TRUE,,,,,,,
408,0.021,0,TRUE,,,,,,,
409,0.031,0,TRUE,,,,,,,
410,0.009596774,0,TRUE,,,,,,,
411,0.018133065,0,TRUE,,,,,,,
412,0.028133065,0,TRUE,,,,,,,
413,0.006729839,0,TRUE,,,,,,,
414,0.015,0,TRUE,,,,,,,
415,0.025,0,TRUE,,,,,,,
416,0.003729839,0,TRUE,,,,,,,
417,0.012532258,0,TRUE,,,,,,,
418,0.022133065,0,TRUE,,,,,,,
419,0.032,0,TRUE,,,,,,,
420,0.011262097,0,TRUE,,,,,,,
421,0.019133065,0,TRUE,,,,,,,
422,0.029,0,TRUE,,,,,,,
423,0.007596774,0,TRUE,,,,,,,
424,0.016133065,0,TRUE,,,,,,,
425,0.026,0,TRUE,,,,,,,
426,0.004064516,0,TRUE,,,,,,,
427,0.013,0,TRUE,,,,,,,
428,0.023,0,TRUE,,,,,,,
429,0.001330645,0,TRUE,,,,,,,
430,0.010399194,0,TRUE,,,,,,,
431,0.02,0,TRUE,,,,,,,
432,0.03,0,TRUE,,,,,,,
433,0.009129032,0,TRUE,,,,,,,
434,0.017399194,0,TRUE,,,,,,,
435,0.027,0,TRUE,,,,,,,
436,0.005330645,0,TRUE,,,,,,,
437,0.014133065,0,TRUE,,,,,,,
438,0.024,0,TRUE,,,,,,,
439,0.001798387,0,TRUE,,,,,,,
